SRC_TO_DST_SECOND_BYTES,LONGEST_FLOW_PKT,SRC_TO_DST_AVG_THROUGHPUT,IN_BYTES,L7_PROTO,TCP_WIN_MAX_OUT,DURATION_OUT,DURATION_IN,FLOW_DURATION_MILLISECONDS,RETRANSMITTED_OUT_BYTES,DST_TO_SRC_AVG_THROUGHPUT,TCP_WIN_MAX_IN,OUT_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_128_TO_256_BYTES,RETRANSMITTED_OUT_PKTS,MAX_TTL,CLIENT_TCP_FLAGS,DST_TO_SRC_SECOND_BYTES,ICMP_TYPE,RETRANSMITTED_IN_BYTES,SHORTEST_FLOW_PKT,RETRANSMITTED_IN_PKTS,DNS_QUERY_ID,MIN_IP_PKT_LEN
1721.0,1213,13768000,1721,0.0,64000,0,0,0,1213,25104000,8192,3138,1,3,1,103,222,3138.0,62720,245,40,1,0,40
3118.0,987,88000,3118,7.0,26847,281,281,4294686,0,168000,26883,6015,5,0,0,63,27,6015.0,0,0,52,0,0,52
67.0,129,536000,67,0.0,0,0,0,0,0,1032000,0,129,0,1,0,0,0,129.0,0,0,67,0,40007,67
1476.0,1213,11808000,1476,0.0,64000,0,0,0,0,14952000,64240,1869,1,2,0,105,30,1869.0,0,0,40,0,0,40
478.0,975,8000,478,7.0,26883,307,307,4294659,0,24000,65535,1147,1,0,0,127,219,1147.0,0,0,40,0,0,40
1368.0,1189,10944000,1368,0.0,64000,0,0,0,0,13768000,8192,1721,0,3,0,102,30,1721.0,0,0,40,0,0,40
460.0,975,88000,460,7.0,26883,39,39,4294927,0,224000,65535,1147,1,0,0,127,219,1147.0,0,0,40,0,0,40
1504.0,1189,12032000,1504,0.0,64000,0,0,0,0,13768000,8192,1721,0,3,0,103,222,1721.0,0,0,40,0,0,40
780.0,60,24000,780,1.0,0,204,204,4294763,0,16000,26883,520,0,0,0,63,2,520.0,0,0,40,0,0,40
373.0,528,2984000,373,7.0,17922,0,0,0,0,5600000,8192,700,0,1,0,128,27,700.0,0,0,40,0,0,40
136.0,179,1088000,136,0.0,0,0,0,0,0,2864000,0,358,0,2,0,128,0,358.0,0,0,68,0,3647,68
232.0,1004,32000,232,7.0,26883,0,46,4294921,0,9088000,8192,1136,0,0,0,127,222,1136.0,0,0,40,0,0,40
2972.0,987,72000,2972,7.0,26847,313,313,4294654,0,152000,26883,6015,5,0,0,63,27,6015.0,0,0,52,0,0,52
57.0,109,456000,57,0.0,0,0,0,0,0,872000,0,109,0,0,0,0,0,109.0,0,0,57,0,37229,57
995.0,424,7960000,995,7.0,29200,0,0,0,0,9024000,8192,1128,2,0,0,128,27,1128.0,49920,451,40,11,0,40
780.0,60,24000,780,1.0,0,204,204,4294763,0,16000,26883,520,0,0,0,63,2,520.0,0,0,40,0,0,40
538.0,366,4304000,538,131.7,26883,0,0,0,0,2728000,8192,341,1,1,0,128,219,341.0,0,0,40,0,0,40
3148.0,1028,25184000,3148,92.0,26847,0,0,0,0,30120000,26883,3765,1,7,0,63,27,3765.0,0,0,52,0,0,52
1076.0,366,32000,1076,131.7,26883,251,251,4294716,0,16000,8192,682,2,2,0,128,219,682.0,0,0,40,0,0,40
485.0,975,640000,485,7.0,26883,5,5,4294961,0,1528000,65535,1147,1,0,0,127,219,1147.0,0,0,40,0,0,40
707.0,185,5656000,707,0.0,8192,0,0,0,0,4400000,16425,550,0,5,0,109,26,550.0,0,0,40,0,0,40
528.0,975,1056000,528,7.0,26883,3,3,4294963,0,2288000,65535,1147,1,0,0,127,219,1147.0,0,0,40,0,0,40
3232.0,987,72000,3232,7.0,26847,328,328,4294639,0,144000,26883,6015,5,0,0,63,27,6015.0,0,0,52,0,0,52
538.0,366,4304000,538,131.7,26883,0,0,0,0,2728000,8192,341,1,1,0,128,219,341.0,0,0,40,0,0,40
44.0,44,352000,44,77.0,0,0,0,0,0,0,34388,0,0,0,0,0,2,0.0,0,0,44,0,0,0
