model,macro_F1,accuracy,binary_F1,nat_macroF1,nat_FPR,Infil_rec,Web_rec,fit_min,p99_ms
cascade,0.752363537967807,0.9724656892932917,0.9803671527189488,0.7357398861629381,0.00034803757002452795,0.29928925263838035,0.5789473684210527,0.835633125000004,21.016640000216285
lightgbm_unweighted,0.7423613932363543,0.9882261591565834,0.9554463140928469,0.6341811625156574,0.006712496622562872,0.2851604566013353,0.03458646616541353,1.1811063633333334,101.3222729997778
mlp,0.7343581433946851,0.9426154604670316,0.8020367040221598,0.6873156805997176,0.06034394407114393,0.36937325005384447,0.13984962406015036,0.8030903133333293,3.4138350000102937
randomforest,0.6633577410723422,0.6348042452411998,0.4077474593104199,0.658775941580495,0.39196063268301207,0.9206978246823174,0.518796992481203,3.288588356666666,38.017573999813976
xgboost,0.6557234759612914,0.6072434699233664,0.39149301399638053,0.6510700747566818,0.41970205218940576,0.9284083566659488,0.5909774436090226,2.0021062166666677,8.452485000152592
balanced_rf,0.6544527626858877,0.6051098929744662,0.3901691054821702,0.6444853585390135,0.4217388834606114,0.9179840620288606,0.5909774436090226,0.6167665816666764,133.3142439999391
lightgbm,0.6537399762891463,0.5925069158645022,0.38237670481626257,0.6495072872975529,0.4365773660769162,0.9423217747146242,0.5789473684210527,1.3888242900000023,14.047573999605447
catboost,0.643473266282907,0.5608724429561923,0.3658650015447908,0.6287016913973994,0.4684032679465513,0.9394357096704716,0.637593984962406,3.0287282866666603,69.1505630001256
extratrees,0.6236467834441267,0.5863613038690467,0.39030300817788743,0.6197152488671243,0.42092739689837816,0.897910833512815,0.9203007518796993,3.3589140833333357,37.926672000276085
cascade_unweighted,0.5606262758284611,0.9741358709013926,0.9798885738055007,0.5478617623384174,0.0005046244214777051,0.216239500323067,0.03458646616541353,0.8824383216666699,23.6794140000984
voting,0.5584593915605583,0.577140239414751,0.3872635598063721,0.5539512979874799,0.4274727873992366,0.9362911910402757,0.8406015037593985,3.39093050666667,22.50005899975804
logreg,0.5435308893327939,0.5419513045862377,0.3669950259430475,0.3907152040570497,0.4568068244216581,0.7184578936032737,0.9278195488721804,1.9647432049999982,2.4280419997739955
