model,view,accuracy,balanced_accuracy,precision_macro,recall_macro_DR,f1_macro,precision_weighted,recall_weighted,f1_weighted,binary_precision,binary_recall_DR,binary_f1,TNR_specificity,FPR,FNR,TP,FP,FN,TN,MCC,cohen_kappa,ROC_AUC_binary,PR_AUC_binary,ROC_AUC_macro_ovr,ROC_AUC_weighted_ovr
balanced_rf,as_sampled,0.6051098929744662,0.8249967753244355,0.7153773223808234,0.8249967753244355,0.6544527626858877,0.9925191828443238,0.6051098929744662,0.744587874366275,0.24261572174964377,0.9957798335858787,0.3901691054821702,0.5782611165393885,0.4217388834606115,0.004220166414121275,449499.0,1403221.0,1905.0,1924006.0,0.41486327400733425,0.2746108701572393,0.9920941257560347,0.9807548202759356,,
balanced_rf,natural_prior,0.5809722338979747,,0.7005010536880877,0.8249967753233073,0.6444853585390135,0.9989618503456784,0.580972233890023,0.7338442383266459,0.028022154916173218,0.9957798335858787,0.054510339054862564,0.5782611165423196,0.42173888345768035,0.004220166414121275,449499.0,15591344.444913782,1905.0,21377844.44534491,,0.037270832305606905,0.9920941257563526,0.9671646907341348,,
cascade,as_sampled,0.9724656892932917,0.7953681741468593,0.8376507058422058,0.7953681741468593,0.752363537967807,0.9945995158497626,0.9724656892932917,0.9805515154262701,0.9973458142711762,0.9639568989198146,0.9803671527189488,0.9996519624299754,0.00034803757002452795,0.03604310108018538,435134.0,1158.0,16270.0,3326069.0,0.8751024119558695,0.8728890181821275,0.9919262678507395,0.9806056579036112,,
cascade,natural_prior,0.9969067655606002,,0.7660038694390309,0.7953681741468583,0.7357398861629381,0.999130936432826,0.9969067655607451,0.9978026867414097,0.9712798046431255,0.9639568989198146,0.9676044969005313,0.999651962429995,0.0003480375700051289,0.03604310108018538,435134.0,12866.666666666859,16270.0,36956322.224283375,,0.8702738290262703,0.9919262678510541,0.9690597161895161,,
cascade_unweighted,as_sampled,0.9741358709013926,0.553855558749585,0.5804339686804179,0.553855558749585,0.5606262758284611,0.9792759415164294,0.9741358709013926,0.9763238425847773,0.9961569889470516,0.9641429849979176,0.9798885738055007,0.9994953755785223,0.000504624421477705,0.03585701500208239,435218.0,1679.0,16186.0,3325548.0,0.880467895982119,0.8800408069614096,0.991913677486094,0.980630498308787,,
cascade_unweighted,natural_prior,0.9969346408835331,,0.5531125583659448,0.5538555587495837,0.5478617623384174,0.9976060108010252,0.9969346408836648,0.997243240770648,0.9588970202665041,0.9641429849979176,0.9615128472568969,0.9994953755785505,0.0005046244214495745,0.03585701500208239,435218.0,18655.555555555482,16186.0,36950533.335394055,,0.8722049919508397,0.9919136774864101,0.9689392354869257,,
catboost,as_sampled,0.5608724429561923,0.8217123467380455,0.7140562921021456,0.8217123467380455,0.643473266282907,0.992474686066788,0.5608724429561923,0.7082075428479274,0.22404649097126378,0.996871981639507,0.3658650015447908,0.5315967320534487,0.4684032679465513,0.0031280183604930397,449992.0,1558484.0,1412.0,1768743.0,0.390160200254073,0.24374799562727467,0.99101568559595,0.979042799042291,,
catboost,natural_prior,0.5345529147385443,,0.6882610003890514,0.8217123467367925,0.6287016913973994,0.9987558472292536,0.5345529147297157,0.6953929070599214,0.025328144768716487,0.996871981639507,0.04940112452453242,0.5315967320546321,0.4684032679453679,0.0031280183604930397,449992.0,17316488.88948676,1412.0,19652700.000771932,,0.03189469498568054,0.9910156855962882,0.964843706836453,,
extratrees,as_sampled,0.5863613038690467,0.8317113982491952,0.7166074699566386,0.8317113982491952,0.6236467834441267,0.9926315552146213,0.5863613038690467,0.7291075942314174,0.2427802982011368,0.9947541448458587,0.39030300817788743,0.5790726031016219,0.42092739689837816,0.005245855154141301,449036.0,1400521.0,2368.0,1926706.0,0.3648198635169575,0.24115454105722944,0.9916815073291648,0.9802951199931895,,
extratrees,natural_prior,0.5798085965358064,,0.7141005812525438,0.8317113982480692,0.6197152488671243,0.9992205373633261,0.5798085965279784,0.7329749080541961,0.0280465540181569,0.9947541448458587,0.05455496049072247,0.5790726031045834,0.42092739689541664,0.005245855154141301,449036.0,15561344.444911547,2368.0,21407844.445347145,,0.032845792535144525,0.9916815073294877,0.9681669759539706,,
lightgbm,as_sampled,0.5925069158645022,0.8253110848568254,0.7166383373254709,0.8253110848568254,0.6537399762891463,0.9930230388063488,0.5925069158645022,0.7343936718288858,0.23654753182646207,0.9970447758548883,0.38237670481626257,0.5634226339230837,0.43657736607691633,0.002955224145111696,450070.0,1452592.0,1334.0,1874635.0,0.4108968131780066,0.2670011945013685,0.9923353178287325,0.9811426565219535,,
lightgbm,natural_prior,0.5663594866256291,,0.7137937657681862,0.8253110848556572,0.6495072872975529,0.9992694526560202,0.5663594866173902,0.7221094961376202,0.027129024256948353,0.9970447758548883,0.052820823782989273,0.5634226339254591,0.4365773660745409,0.002955224145111696,450070.0,16139911.11162132,1334.0,20829277.778637372,,0.03579563250938833,0.9923353178290456,0.9690826091386486,,
lightgbm_unweighted,as_sampled,0.9882261591565834,0.7417106147783942,0.747681021011157,0.7417106147783942,0.7423613932363543,0.9877762167423524,0.9882261591565834,0.9879165815049862,0.9509852762701932,0.9599494023092396,0.9554463140928469,0.9932875033774371,0.006712496622562873,0.04005059769076038,433325.0,22334.0,18079.0,3304893.0,0.9463467409766202,0.9463215272999923,0.9824860365341251,0.9100679451859814,,
lightgbm_unweighted,natural_prior,0.9927764224271333,,0.5776711447840247,0.7417106147783762,0.6341811625156574,0.9966637545924837,0.9927764224270372,0.9944515903172496,0.6358582008940823,0.9599494023092396,0.7649940991338072,0.9932875033778049,0.0067124966221950326,0.04005059769076038,433325.0,248155.55555567544,18079.0,36721033.335376956,,0.7590386619565348,0.9824860365346477,0.538323170409345,,
logreg,as_sampled,0.5419513045862377,0.7757672692614828,0.6238736110342028,0.7757672692614828,0.5435308893327939,0.9770721186222514,0.5419513045862377,0.6851864998997601,0.22569555708502065,0.98143348308832,0.3669950259430475,0.543193175578342,0.45680682442165804,0.018566516911680004,443023.0,1519900.0,8381.0,1807327.0,0.3111312530191586,0.19914333018763464,0.9793816796022501,0.9300386312254374,,
