tau,ICR,on_chain_volume,write_reduction,anchored_flows,attacks_anchored,attacks_missed,benign_anchored,anchor_precision
0.0,1.0,1.0,0.0,3778631,451404,0,3327227,0.11946231320285045
2.651739237080619e-07,0.9999977846895464,0.8376242612734612,0.16237573872653877,3165073,451403,1,2713670,0.1426200912269638
5.303478474161238e-07,0.9999977846895464,0.837622938042905,0.162377061957095,3165068,451403,1,2713665,0.14262031653032414
7.955218279676046e-07,0.9999977846895464,0.83762187945846,0.16237812054154,3165064,451403,1,2713661,0.14262049677352495
1.0606956948322477e-06,0.9999977846895464,0.8376210855201262,0.16237891447987385,3165061,451403,1,2713658,0.14262063195622454
1.3258696753837285e-06,0.9999977846895464,0.8376208208740149,0.1623791791259851,3165060,451403,1,2713657,0.14262067701718134
1.5910436559352092e-06,0.9999977846895464,0.8376176451206799,0.16238235487932007,3165048,451403,1,2713645,0.14262121775088404
1.8562175227998523e-06,0.9999977846895464,0.8375668330673199,0.16243316693268006,3164856,451403,1,2713453,0.14262987004779995
2.1213913896644954e-06,0.9999977846895464,0.8375649805445411,0.1624350194554589,3164849,451403,1,2713446,0.14263018551595985
2.386565483902814e-06,0.9999977846895464,0.8375639219600961,0.1624360780399039,3164845,451403,1,2713442,0.14263036578410634
2.651739350767457e-06,0.9999977846895464,0.8375631280217624,0.16243687197823764,3164842,451403,1,2713439,0.14263050098551525
2.9169134450057754e-06,0.9999977846895464,0.8375623340834286,0.16243766591657138,3164839,451403,1,2713436,0.14263063618718044
3.1820873118704185e-06,0.9999977846895464,0.8375493664239774,0.16245063357602263,3164790,451403,1,2713387,0.14263284451732974
3.4472611787350615e-06,0.9999977846895464,0.8375467199628649,0.1624532800371351,3164780,451403,1,2713377,0.14263329520535392
3.7124350455997046e-06,0.9999977846895464,0.8375446027939748,0.1624553972060252,3164772,451403,1,2713369,0.14263365575782394
3.977609139838023e-06,0.9999977846895464,0.8375287240272998,0.16247127597270017,3164712,451403,1,2713309,0.14263635995945287
4.242782779328991e-06,0.9999977846895464,0.8375281947350773,0.16247180526492266,3164710,451403,1,2713307,0.1426364501012731
4.507956418819958e-06,0.9999977846895464,0.8375276654428548,0.16247233455714516,3164708,451403,1,2713305,0.14263654024320727
4.507956873567309e-06,0.9999977846895464,0.8369197733253128,0.16308022667468725,3162411,451403,1,2711008,0.1427401435170824
4.50795732831466e-06,0.9999911387581856,0.7797686516624672,0.22023134833753277,2946458,451400,4,2495058,0.15320089409046386
7.210061994555872e-06,0.9999911387581856,0.7789516891170374,0.22104831088296262,2943371,451400,4,2491971,0.1533615707975651
9.912168025039136e-06,0.9999911387581856,0.7789511598248149,0.2210488401751851,2943369,451400,4,2491969,0.1533616750057502
1.2614273146027699e-05,0.9999911387581856,0.7789490426559249,0.2210509573440751,2943361,451400,4,2491961,0.15336209183990682
2.072059032798279e-05,0.9999911387581856,0.7789477194253686,0.22105228057463144,2943356,451400,4,2491956,0.15336235236240536
2.6124800569959916e-05,0.9999911387581856,0.7789471901331461,0.22105280986685394,2943354,451400,4,2491954,0.15336245657165262
3.1529012630926445e-05,0.9999911387581856,0.7789466608409236,0.22105333915907643,2943352,451400,4,2491952,0.1533625607810415
