,median,p05,p95,min,max
SRC_TO_DST_SECOND_BYTES,523.0,60.0,48140.0,0.0,15231803719680.0
LONGEST_FLOW_PKT,975.0,60.0,1219.0,28.0,4197.0
SRC_TO_DST_AVG_THROUGHPUT,544000.0,32000.0,15520000.0,0.0,1977176000.0
IN_BYTES,522.0,60.0,3264.0,28.0,18192902.0
L7_PROTO,7.0,0.0,92.0,0.0,248.0
TCP_WIN_MAX_OUT,26883.0,0.0,64000.0,0.0,65535.0
DURATION_OUT,0.0,0.0,281.0,0.0,31673.0
DURATION_IN,2.0,0.0,282.0,0.0,106714.0
FLOW_DURATION_MILLISECONDS,4294545.0,0.0,4294963.0,0.0,4294967.0
RETRANSMITTED_OUT_BYTES,0.0,0.0,0.0,0.0,2064126.0
DST_TO_SRC_AVG_THROUGHPUT,1056000.0,16000.0,30120000.0,0.0,4293648000.0
TCP_WIN_MAX_IN,8192.0,0.0,65535.0,0.0,65535.0
OUT_BYTES,1147.0,76.0,6015.0,0.0,177707004.0
NUM_PKTS_256_TO_512_BYTES,1.0,0.0,5.0,0.0,871.0
NUM_PKTS_128_TO_256_BYTES,0.0,0.0,4.0,0.0,1506.0
RETRANSMITTED_OUT_PKTS,0.0,0.0,0.0,0.0,1378.0
MAX_TTL,127.0,0.0,128.0,0.0,255.0
CLIENT_TCP_FLAGS,219.0,0.0,222.0,0.0,223.0
DST_TO_SRC_SECOND_BYTES,1147.0,77.0,110740.0,0.0,16451946676224.0
ICMP_TYPE,0.0,0.0,34304.0,0.0,65280.0
RETRANSMITTED_IN_BYTES,0.0,0.0,410.0,0.0,20396.0
SHORTEST_FLOW_PKT,40.0,40.0,72.0,28.0,1500.0
RETRANSMITTED_IN_PKTS,0.0,0.0,1.0,0.0,367.0
DNS_QUERY_ID,0.0,0.0,49260.299999999814,0.0,65535.0
MIN_IP_PKT_LEN,40.0,40.0,72.0,0.0,330.0
