arrival_events_per_sec,anchor_rate,anchors_per_sec,batch_factor,ledger_tps_required,within_1000_tps
100,0.70952,70.95,1,70.952,True
100,0.70952,70.95,10,7.095,True
100,0.70952,70.95,100,0.71,True
100,0.70952,70.95,500,0.142,True
500,0.70952,354.76,1,354.76,True
500,0.70952,354.76,10,35.476,True
500,0.70952,354.76,100,3.548,True
500,0.70952,354.76,500,0.71,True
1000,0.70952,709.52,1,709.52,True
1000,0.70952,709.52,10,70.952,True
1000,0.70952,709.52,100,7.095,True
1000,0.70952,709.52,500,1.419,True
5000,0.70952,3547.6,1,3547.601,False
5000,0.70952,3547.6,10,354.76,True
5000,0.70952,3547.6,100,35.476,True
5000,0.70952,3547.6,500,7.095,True
10000,0.70952,7095.2,1,7095.202,False
10000,0.70952,7095.2,10,709.52,True
10000,0.70952,7095.2,100,70.952,True
10000,0.70952,7095.2,500,14.19,True
