,gain
SRC_TO_DST_SECOND_BYTES,5644151764782.308
LONGEST_FLOW_PKT,4374913994508.355
SRC_TO_DST_AVG_THROUGHPUT,1261371267434.6123
IN_BYTES,849134374165.357
L7_PROTO,745465009424.6636
TCP_WIN_MAX_OUT,622848520802.8418
DURATION_OUT,391115887400.75336
DURATION_IN,345721117516.2886
FLOW_DURATION_MILLISECONDS,272294179221.43744
RETRANSMITTED_OUT_BYTES,193224758607.85556
DST_TO_SRC_AVG_THROUGHPUT,121177407562.56445
TCP_WIN_MAX_IN,93374008409.04704
OUT_BYTES,83268429202.09778
NUM_PKTS_256_TO_512_BYTES,50617059972.40025
NUM_PKTS_128_TO_256_BYTES,17658557144.93942
RETRANSMITTED_OUT_PKTS,14774609412.986681
MAX_TTL,13160052121.286783
CLIENT_TCP_FLAGS,11210655657.763222
DST_TO_SRC_SECOND_BYTES,10873023286.742058
ICMP_TYPE,8244616698.594107
RETRANSMITTED_IN_BYTES,5761094458.68236
SHORTEST_FLOW_PKT,1865301723.816427
RETRANSMITTED_IN_PKTS,1309076017.1181214
DNS_QUERY_ID,1132071261.7449195
MIN_IP_PKT_LEN,936379860.1760033
PROTOCOL,470172454.66461444
SERVER_TCP_FLAGS,437764567.16288364
NUM_PKTS_512_TO_1024_BYTES,315465198.46402276
DNS_TTL_ANSWER,108360761.03924847
DNS_QUERY_TYPE,92381.32632255554
