,permutation_importance
DST_TO_SRC_SECOND_BYTES,0.18910950000000004
OUT_BYTES,0.17727700000000007
SRC_TO_DST_AVG_THROUGHPUT,0.16948950000000004
CLIENT_TCP_FLAGS,0.12480500000000005
MIN_IP_PKT_LEN,0.05870450000000005
LONGEST_FLOW_PKT,0.04842400000000004
IN_BYTES,0.04737450000000003
MAX_TTL,0.04594550000000004
DURATION_OUT,0.04564950000000005
NUM_PKTS_256_TO_512_BYTES,0.03367100000000005
L7_PROTO,0.0262215000000001
DNS_QUERY_ID,0.024954000000000053
FLOW_DURATION_MILLISECONDS,0.022355000000000035
DST_TO_SRC_AVG_THROUGHPUT,0.02220600000000006
TCP_WIN_MAX_IN,0.020209500000000057
RETRANSMITTED_OUT_BYTES,0.01673600000000004
DURATION_IN,0.014202500000000052
NUM_PKTS_128_TO_256_BYTES,0.012429000000000068
TCP_WIN_MAX_OUT,0.010628500000000063
RETRANSMITTED_IN_BYTES,0.007742500000000052
SHORTEST_FLOW_PKT,0.0067850000000000635
SRC_TO_DST_SECOND_BYTES,0.0056715000000000515
RETRANSMITTED_OUT_PKTS,0.00384250000000006
ICMP_TYPE,0.0033905000000000298
RETRANSMITTED_IN_PKTS,0.0015295000000000504
