Model,Class,Support,Precision,Recall/DR,F1,Specificity (TNR),Binary Recall,ROC-AUC (OvR)
balanced_rf,Benign,3327227,0.999,0.5783,0.7325,0.9958,,0.9921
balanced_rf,DDoS,278227,0.9965,0.6883,0.8142,0.9998,1.0,0.4902
balanced_rf,DoS,96798,0.9959,0.9999,0.9979,0.9999,0.9999,0.4945
balanced_rf,Bot,28532,0.9996,0.9998,0.9997,1.0,0.9998,0.4518
balanced_rf,BruteForce,23967,0.9971,0.9998,0.9984,1.0,1.0,0.4721
balanced_rf,Infiltration,23215,0.015,0.918,0.0295,0.6266,0.9187,0.8641
balanced_rf,Web Attacks,665,0.0045,0.591,0.0089,0.977,1.0,0.9805
balanced_rf,MACRO AVG,3778631,0.7154,0.825,0.6545,0.9427,0.9864,0.6779
balanced_rf,WEIGHTED AVG,3778631,0.9925,0.6051,0.7446,0.994,0.9958,0.9342
cascade,Benign,3327227,0.9951,0.9997,0.9974,0.964,,0.9919
cascade,DDoS,278227,0.9985,0.6897,0.8158,0.9999,1.0,0.9999
cascade,DoS,96798,0.9999,1.0,1.0,1.0,1.0,1.0
cascade,Bot,28532,0.9999,1.0,1.0,1.0,1.0,1.0
cascade,BruteForce,23967,0.9994,1.0,0.9997,1.0,1.0,1.0
cascade,Infiltration,23215,0.8662,0.2993,0.4449,0.9997,0.2994,0.861
cascade,Web Attacks,665,0.0044,0.5789,0.0088,0.9771,0.991,0.9802
cascade,MACRO AVG,3778631,0.8377,0.7954,0.7524,0.9915,0.8817,0.9762
cascade,WEIGHTED AVG,3778631,0.9946,0.9725,0.9806,0.9683,0.964,0.992
cascade_tuned_argmax,Benign,3327227,0.9952,0.9998,0.9975,0.9642,,0.9922
cascade_tuned_argmax,DDoS,278227,0.9982,0.8157,0.8977,0.9999,1.0,0.9999
cascade_tuned_argmax,DoS,96798,1.0,1.0,1.0,1.0,1.0,1.0
cascade_tuned_argmax,Bot,28532,1.0,1.0,1.0,1.0,1.0,1.0
cascade_tuned_argmax,BruteForce,23967,0.9995,1.0,0.9997,1.0,1.0,1.0
cascade_tuned_argmax,Infiltration,23215,0.9015,0.3048,0.4555,0.9998,0.3049,0.8655
cascade_tuned_argmax,Web Attacks,665,0.0053,0.4075,0.0104,0.9864,0.994,0.9788
cascade_tuned_argmax,MACRO AVG,3778631,0.8428,0.7897,0.7658,0.9929,0.8831,0.9766
cascade_tuned_argmax,WEIGHTED AVG,3778631,0.9948,0.9818,0.9867,0.9685,0.9642,0.9923
cascade_tuned_tau,Benign,3327227,0.9952,0.9995,0.9974,0.9644,,0.9922
cascade_tuned_tau,DDoS,278227,0.9961,0.9998,0.9979,0.9997,1.0,0.9999
cascade_tuned_tau,DoS,96798,1.0,1.0,1.0,1.0,1.0,1.0
cascade_tuned_tau,Bot,28532,1.0,1.0,1.0,1.0,1.0,1.0
cascade_tuned_tau,BruteForce,23967,0.9994,1.0,0.9997,1.0,1.0,1.0
cascade_tuned_tau,Infiltration,23215,0.8746,0.3082,0.4558,0.9997,0.3083,0.8655
cascade_tuned_tau,Web Attacks,665,0.6273,0.1519,0.2446,1.0,0.994,0.9788
cascade_tuned_tau,MACRO AVG,3778631,0.9275,0.7799,0.8136,0.9948,0.8837,0.9766
cascade_tuned_tau,WEIGHTED AVG,3778631,0.9946,0.9952,0.994,0.9686,0.9644,0.9923
cascade_unweighted,Benign,3327227,0.9952,0.9995,0.9973,0.9641,,0.9919
cascade_unweighted,DDoS,278227,0.9731,0.8947,0.9323,0.998,1.0,0.9374
cascade_unweighted,DoS,96798,0.935,0.8186,0.8729,0.9985,1.0,0.9071
cascade_unweighted,Bot,28532,0.0943,0.053,0.0679,0.9961,1.0,0.5239
cascade_unweighted,BruteForce,23967,0.7305,0.8603,0.7901,0.998,1.0,0.915
cascade_unweighted,Infiltration,23215,0.3343,0.2162,0.2626,0.9973,0.303,0.7179
cascade_unweighted,Web Attacks,665,0.0006,0.0346,0.0012,0.9902,0.9925,0.5613
cascade_unweighted,MACRO AVG,3778631,0.5804,0.5539,0.5606,0.9918,0.8826,0.7935
cascade_unweighted,WEIGHTED AVG,3778631,0.9793,0.9741,0.9763,0.9682,0.9641,0.9799
catboost,Benign,3327227,0.9992,0.5316,0.694,0.9969,,0.991
catboost,DDoS,278227,0.9942,0.6436,0.7814,0.9997,1.0,0.4278
catboost,DoS,96798,0.9962,0.9999,0.9981,0.9999,0.9999,0.372
catboost,Bot,28532,0.9942,0.9998,0.997,1.0,0.9999,0.059
catboost,BruteForce,23967,0.9965,1.0,0.9983,1.0,1.0,0.6604
catboost,Infiltration,23215,0.0138,0.9394,0.0272,0.5857,0.9401,0.8463
catboost,Web Attacks,665,0.0042,0.6376,0.0084,0.9735,1.0,0.98
catboost,MACRO AVG,3778631,0.7141,0.8217,0.6435,0.9365,0.99,0.6195
catboost,WEIGHTED AVG,3778631,0.9925,0.5609,0.7082,0.9947,0.9969,0.9237
extratrees,Benign,3327227,0.9988,0.5791,0.7331,0.9948,,0.9917
extratrees,DDoS,278227,0.9992,0.4248,0.5961,1.0,1.0,0.4627
extratrees,DoS,96798,0.9999,1.0,1.0,1.0,1.0,0.5807
extratrees,Bot,28532,1.0,1.0,1.0,1.0,1.0,0.3165
extratrees,BruteForce,23967,0.9999,0.9999,0.9999,1.0,0.9999,0.5388
extratrees,Infiltration,23215,0.0147,0.8979,0.0289,0.6271,0.8981,0.8567
extratrees,Web Attacks,665,0.0038,0.9203,0.0076,0.9576,1.0,0.9821
extratrees,MACRO AVG,3778631,0.7166,0.8317,0.6236,0.9399,0.983,0.6756
extratrees,WEIGHTED AVG,3778631,0.9926,0.5864,0.7291,0.9931,0.9948,0.9334
flat_tuned_argmax,Benign,3327227,0.9952,0.9996,0.9974,0.9647,,0.9925
flat_tuned_argmax,DDoS,278227,0.998,1.0,0.999,0.9998,1.0,1.0
flat_tuned_argmax,DoS,96798,0.9999,1.0,1.0,1.0,1.0,1.0
flat_tuned_argmax,Bot,28532,0.9999,1.0,1.0,1.0,1.0,1.0
flat_tuned_argmax,BruteForce,23967,0.9994,1.0,0.9997,1.0,1.0,1.0
flat_tuned_argmax,Infiltration,23215,0.8342,0.3138,0.456,0.9996,0.314,0.8714
flat_tuned_argmax,Web Attacks,665,0.9286,0.1564,0.2677,1.0,1.0,0.9811
flat_tuned_argmax,MACRO AVG,3778631,0.965,0.7814,0.8171,0.9949,0.8857,0.9778
flat_tuned_argmax,WEIGHTED AVG,3778631,0.9946,0.9952,0.9942,0.9689,0.9647,0.9926
flat_tuned_tau,Benign,3327227,0.9952,0.9997,0.9975,0.9645,,0.9925
flat_tuned_tau,DDoS,278227,0.9979,1.0,0.999,0.9998,1.0,1.0
flat_tuned_tau,DoS,96798,1.0,1.0,1.0,1.0,1.0,1.0
flat_tuned_tau,Bot,28532,1.0,1.0,1.0,1.0,1.0,1.0
flat_tuned_tau,BruteForce,23967,0.9997,1.0,0.9998,1.0,1.0,1.0
flat_tuned_tau,Infiltration,23215,0.8907,0.3092,0.459,0.9998,0.3094,0.8714
flat_tuned_tau,Web Attacks,665,0.8203,0.1579,0.2648,1.0,1.0,0.9811
flat_tuned_tau,MACRO AVG,3778631,0.9577,0.781,0.8172,0.9949,0.8849,0.9778
flat_tuned_tau,WEIGHTED AVG,3778631,0.9949,0.9954,0.9942,0.9687,0.9645,0.9926
lightgbm,Benign,3327227,0.9993,0.5634,0.7206,0.997,,0.9923
lightgbm,DDoS,278227,0.9984,0.6925,0.8178,0.9999,1.0,0.4878
lightgbm,DoS,96798,1.0,1.0,1.0,1.0,1.0,0.0062
lightgbm,Bot,28532,0.9999,1.0,1.0,1.0,1.0,0.0001
lightgbm,BruteForce,23967,0.9996,1.0,0.9998,1.0,1.0,0.0085
lightgbm,Infiltration,23215,0.0148,0.9423,0.0292,0.6132,0.9426,0.8679
lightgbm,Web Attacks,665,0.0045,0.5789,0.0089,0.9773,1.0,0.9804
lightgbm,MACRO AVG,3778631,0.7166,0.8253,0.6537,0.9411,0.9904,0.4776
lightgbm,WEIGHTED AVG,3778631,0.993,0.5925,0.7344,0.995,0.997,0.9154
lightgbm_unweighted,Benign,3327227,0.9946,0.9933,0.9939,0.9599,,0.9825
lightgbm_unweighted,DDoS,278227,0.9867,0.9972,0.9919,0.9989,0.9987,0.1733
lightgbm_unweighted,DoS,96798,0.9183,0.9823,0.9492,0.9977,0.9926,0.3502
lightgbm_unweighted,Bot,28532,0.9827,0.9982,0.9904,0.9999,0.9991,0.0873
lightgbm_unweighted,BruteForce,23967,0.9531,0.9013,0.9264,0.9997,0.9654,0.5866
lightgbm_unweighted,Infiltration,23215,0.3881,0.2852,0.3288,0.9972,0.3065,0.8002
lightgbm_unweighted,Web Attacks,665,0.0103,0.0346,0.0159,0.9994,0.9368,0.8105
lightgbm_unweighted,MACRO AVG,3778631,0.7477,0.7417,0.7424,0.9933,0.8665,0.5415
lightgbm_unweighted,WEIGHTED AVG,3778631,0.9878,0.9882,0.9879,0.9646,0.9599,0.8963
logreg,Benign,3327227,0.9954,0.5432,0.7028,0.9814,,0.9794
