Model,Accuracy,Precision (macro),Recall/DR (macro),F1 (macro),Binary F1,Specificity (TNR),FPR,ROC-AUC,PR-AUC,MCC,Cohen Kappa
flat_tuned_tau,0.9954,0.9577,0.781,0.8172,0.9809,0.9997,0.0003,0.9925,0.9816,0.9786,0.9784
flat_tuned_argmax,0.9952,0.965,0.7814,0.8171,0.9804,0.9996,0.0004,0.9925,0.9816,0.9781,0.9779
cascade_tuned_tau,0.9952,0.9275,0.7799,0.8136,0.9801,0.9995,0.0005,0.9922,0.9811,0.9777,0.9775
cascade_tuned_argmax,0.9818,0.8428,0.7897,0.7658,0.9809,0.9998,0.0002,0.9922,0.9811,0.9168,0.9158
cascade,0.9725,0.8377,0.7954,0.7524,0.9804,0.9997,0.0003,0.9919,0.9806,0.8751,0.8729
lightgbm_unweighted,0.9882,0.7477,0.7417,0.7424,0.9554,0.9933,0.0067,0.9825,0.9101,0.9463,0.9463
mlp,0.9426,0.7292,0.7772,0.7344,0.802,0.9397,0.0603,0.9899,0.9754,0.7976,0.7805
randomforest,0.6348,0.7168,0.8261,0.6634,0.4077,0.608,0.392,0.993,0.9822,0.4362,0.2994
xgboost,0.6072,0.7166,0.8274,0.6557,0.3915,0.5803,0.4197,0.9925,0.9814,0.4168,0.2765
balanced_rf,0.6051,0.7154,0.825,0.6545,0.3902,0.5783,0.4217,0.9921,0.9808,0.4149,0.2746
lightgbm,0.5925,0.7166,0.8253,0.6537,0.3824,0.5634,0.4366,0.9923,0.9811,0.4109,0.267
catboost,0.5609,0.7141,0.8217,0.6435,0.3659,0.5316,0.4684,0.991,0.979,0.3902,0.2437
extratrees,0.5864,0.7166,0.8317,0.6236,0.3903,0.5791,0.4209,0.9917,0.9803,0.3648,0.2412
cascade_unweighted,0.9741,0.5804,0.5539,0.5606,0.9799,0.9995,0.0005,0.9919,0.9806,0.8805,0.88
voting,0.5771,0.6312,0.7924,0.5585,0.3873,0.5725,0.4275,0.9925,0.9814,0.3534,0.2317
logreg,0.542,0.6239,0.7758,0.5435,0.367,0.5432,0.4568,0.9794,0.93,0.3111,0.1991
